,Sentences
6286,"RMU room, ground floor    Area required  (m2)    Minimum width  of room (m)  towards door side    One RMU set controlling two transformers    Additional RMU set    9    7    Four or more transformers (including necessary equipment)    10    3    –    5    Table G.26 Dimensions of RMU room, ground floor and basement substation    Transformer topologies (basement level)    Area required  (m2)    Minimum width  of room (m)    1 × 1,000/1,500 kVA    Extra area required for an additional transformer    For 2 × 1,000/1,500 kVA transformers    21    21    42    Table G.27 Dimensions of transformer room, basement substation    4.57    –    6.1    G 87    Dubai Building Code    Part G: Incoming utilities       Open to sky dedicated substation with private panel  G.7.5.4  The dimensions of an open to sky dedicated substation with private panel shall  conform to Table G.28 and Figure G.45."
6287,"Parameter    Equipment    Dimensions    Additional requirements    Requirement    1 × 1,000/1,500 kVA transformer and 1 × RMU    6.1 m × 6.1 m    Substation space shall be located along RTA/public road or sikka."
6288,LV room shall be adjacent to the substation room.
6289,Soakaway shall be 3.66 m (minimum) away from the substation.
6290,"Table G.28 Open to sky, dedicated substation parameters    0.60    1.53    0.77    0.90    0.77    1.53    0.20  0.40    0.85    0.45    01    02    0  1  ."
6291,6    0.92    0.60    0.92    0  4  .
6292,0    3  0  .
6293,1    04    05    0.30    0.60    0.60    03    0  3  .
6294,0    0  4  .
6295,"0    06    Key  01: 150 mm øPVC at trench level  02: Transformer base  03: RTU  04: RMU  05: Open to sky  06: Compound wall shall not be  more than 2.1 m  07: RTA road/sikka    6.10    07    Figure G.45 Typical open to sky dedicated substation spatial arrangement (m) (for reference only,  not for construction)    G 88    Dubai Building Code    Part G: Incoming utilities     Open to sky pocket substation    G.7.5.5  The dimensions of an open to sky pocket substation  shall conform to Table G.29, Figure G.46 and  Figure G.47."
6296,"Equipment    1 × 1,000 kVA    2 × 1,000 kVA    Dimensions (m)    4.57 × 3.66    6.1 × 6.1    Table G.29 Open to sky, dedicated substation parameters    The substation shall be directly located along the RTA/  public road or sikka."
6297,The side of the substation with  the dimension 4.57 m or 6.1 m should be facing the  RTA/public road/service road.
6298,"The substation shall be suitable for releasing supply  through individual feeders, each of 400 A (maximum  rating)."
6299,"The height of the compound wall around the  substation foundation (on three sides) shall be not  more than 2,100 mm."
6300,Any soakaway shall be a minimum of 3.66 m from the  substation.
6301,Key  01: Pocket substation base  02: Trench  03: Earth pits  04: Open to sky  05: RTA road/sikka    2.44    0  3  .
6302,0    01    02    6  6  .
6303,3    0  3  .
6304,0    8  3  .
6305,0    03    4  0  .
6306,3    04    0  3  .
6307,"0    0.30    0.20    0.60    1.40    4.57    05    Figure G.46 Typical 1 × 1,000 kVA pocket substation spatial arrangement (m) (for reference only, not for construction)    G 89    Dubai Building Code    Part G: Incoming utilities     Key  01: Pocket substation No.1  02: Pocket substation No.2  03: Trench  04: Compound wall less than 2.1m  05: RTA road/sikka    0.30    04    0.30    1.06    0.60    6.10    1.58    0.40    02    2.74    6.10    03    2.36    0.60    1.06    0.30    0.53    1.60    0.53    01    0  6  ."
6308,"0    03    1.66    05    Figure G.47 Typical 2 × 1,000 kVA pocket substation spatial arrangement (m) (for reference only, not for construction)    G 90    Dubai Building Code    Part G: Incoming utilities     DEWA control room requirements for direct 11 kV supply  G.7.5.6  The dimensions of a DEWA control room shall conform to Table G.30, Figure G.48  and Figure G.49."
6309,"11 kV feeder Area (m2)    Dimension  (m)    Additional requirements    Area for  every  additional  feeder (m2)    Two feeders    29.16    5.4 × 5.4    8    Two feeders    37.2    6.1 × 6.1    37.2    Table G.30 DEWA control room requirements, 11 kV supply    Regular type of RMU room made of  block work and RCC slab."
6310,Open to sky with FGRP kiosk (to be  supplied by DEWA).
6311,Height of the wall around the  substation foundation (on three sides)  not more than 2.1 m.    0  4  .
6312,5    0.30    0.45    0  9  .
6313,0    01    0.85    03    0.42    02    0.42    02    3  0  .
6314,3    3  0  .
6315,"3    04    0.60    0.60    1.18    3.05    5.40    1.18    1.50    Figure G.48 Typical dedicated 11 kV/RMU room (enclosed) (m) (for reference only, not for construction)    Key  01: RTU  02: Trench  03: DB  04: 8 m2 for extra RMU    G 91    Dubai Building Code    Part G: Incoming utilities     0.30    01    Key  01: RTU  02: Trench  03: DB  04: Compound wall less than 2.1m    0.45    0.45    02    0.85    0.85    02    04    3.00    3.00    03    0.45    0.75    0.75    0  3  ."
6316,0    5  4  .
6317,0    5  4  .
6318,0    3.70    6.10    5  4  .
6319,0    5  4  .
6320,0    0  3  .
6321,"0    Figure G.49 Typical dedicated 11 kV/RMU enclosure (open air) (m) (for reference only, not for construction)    G 92    Dubai Building Code    Part G: Incoming utilities     Substations shall be 2 h fire rated to conform to Table  1.9, Ch."
6322,1 of UAE FLSC [Ref.
6323,G.1].
6324,Exterior walls do not  need to be fire rated unless there is a risk of exterior  fire spread and the wall is fire rated in accordance with  Ch.
6325,1 of UAE FLSC [Ref.
6326,G.1].
6327,At least one exit door with door swing in the direction  of egress shall be provided.
6328,"If the door is in a 2 h fire  rated fire rated wall, then the door shall be 90 min fire  rated."
6329,Equipment access doors maybe sufficient to  meet this requirement.
6330,Walls enclosing covered parking ramps at the  exit/access of the basement are interior walls.
6331,Louvers  shall not be permitted in these walls unless they are  protected in accordance with G.7.6.3.
6332,Forced ventilation with no exterior walls  G.7.6.3  RMU rooms shall be at the ground floor.
6333,"RMU rooms  shall be 2 h fire rated to conform to Table 1.9, Ch."
6334,1 of  UAE FLSC [Ref.
6335,G.1].
6336,Exterior walls do not need to be  fire rated unless there is a risk of exterior fire spread  and the wall is fire rated in accordance with Ch.
6337,1 of  UAE FLSC [Ref.
6338,G.1].
6339,Independent mechanical ventilation shall be provided  to transformer rooms with no exterior walls (e.g.
6340,in a  basement).
6341,All equipment shall be accessed from the  landlord side.
6342,The mechanical ventilation shall be sized to  maintain the ambient temperature in the substation  at maximum of 55 °C based on an outside air  temperature of 48 °C.
6343,Supporting calculations shall be  provided to justify the proposed exhaust and supply  rates.
6344,Typical details are shown in Figure G.52.
6345,Louvers shall be provided on two sides of the room as  a back-up to the mechanical ventilation system.
6346,"The total grill area shall be not less than 14.9 m2 for  1,000 kVA transformer and not less than 18.6 m2 for  1,500 kVA transformer."
6347,"Transformer rooms shall be 2 h fire rated to conform  to Table 1.9, Ch."
6348,1 of UAE FLSC [Ref.
6349,G.1].
6350,Louvers shall be protected by automatic 2 h fire rated  shutters or 2 h fire rated curtains on the landlord side  of the louvers (see Figure G.53).
6351,Two combined fire and smoke detectors shall be  provided on the landlord side of the louvers.
6352,"They  shall be located on the slab soffit within the vicinity  of the louver in accordance with the dimensional  requirements of Table 8.1 (item 25, door release  service), Ch."
6353,8 of UAE FLSC [Ref.
6354,G.1].
6355,"G.7.6    Substation ventilation and fire  safety provisions    General    G.7.6.1  Substations shall have adequate ventilation  using natural louvers, mechanical ventilation or a  combination of both, depending upon how many sides  of the transformer room have direct access to an  exterior wall."
6356,"Substations shall be 2 h fire rated to conform to Table  1.9, Ch."
6357,1 of UAE FLSC [Ref.
6358,G.1].
6359,Exterior walls do not  need to be fire rated unless there is a risk of exterior  fire spread and the wall is fire rated in accordance with  Ch.
6360,1 of UAE FLSC [Ref.
6361,G.1].
