,Sentences
7557,    Framing containing glass:    Between ends of frame    1/125 span of member    Single glass    Between ends of unit    1/175 span of double-glazed unit    Insulating glass units    Manufacturer recommendation shall also  be sought.
7558,    Fixings    E.
7559,4.
7560,1.
7561,7  Fixings to secure the building envelope shall be selected based on the proven  performance of the fixing.
7562," Manufacturer test data is generally determined using a  European technical assessment (ETA), a British Standard (BS), a European Norm  (EN) or an ASTM International (ASTM) standard."
7563,"    The strength of fixings shall be selected based on tests using materials  representative of the material into which the fixing is to be anchored, taking account  of any inherent weaknesses that might affect the strength of the fixing (e."
7564,g.
7565," cracks in  concrete due to shrinkage and flexure, or voids in masonry construction)."
7566,    The design of any component shall address the consequences of failure of any  individual fixing.
7567,    Fixings shall not be welded.
7568,    E.
7569,4.
7570,"2    Structural use of glass    Glass used structurally, or glass that is not supported by load-bearing framing or that  is providing in-plane restraints to components, shall be designed with redundancy  in the system."
7571," The redundancy shall be such that if failure or breakage of the glass  occurs, the loading is shared by adjacent components."
7572,    NOTE: The Institution of Structural Engineer’s report on structural use of glass in  buildings [Ref.
7573, E.
7574,3] gives further guidance.
7575,    Table E.
7576,1 Maximum recoverable deflection under design load    E.
7577,4.
7578,3    Structural use of silicone    Deflection limits of main structural elements are given in F.
7579,8.
7580,    The structural use of silicone in the building envelope shall be in accordance with  ETAG 002 [Ref.
7581, E.
7582,4].
7583,    E 9    Dubai Building Code    Part E: Building envelope     E.
7584,4.
7585,4    Materials    Building envelope materials and components shall meet the requirements given in F.
7586,6  and IBC [Ref.
7587, E.
7588,"5], Section 1404, Section 1405 and Ch."
7589, 23 to Ch.
7590, 26.
7591,    The properties of glass used in the structural design shall be in accordance with  ASTM E1300.
7592,    Areas of  exposure    Areas within  1.
7593,5 m of ground  or adjacent  finished floor  level (FFL)    E.
7594,4.
7595,"5    Impact resistance    The building envelope shall be capable of withstanding applied or transferred impacts  that might occur during normal use (whether accidental, e."
7596,g.
7597," an object being kicked,  or deliberate, e."
7598,g.
7599, during maintenance) without sustaining damage that is not  repairable and without deterioration of its performance.
7600,    Areas between  1.
7601,5 m to 6 m  above ground  or above  adjacent FFL    Description    Soft body    Hard body    Safety    500 J    Serviceability Safety    Serviceability    120 J    10 J    10 J    500 J    120 J    10 J    6 J    350 J    120 J    10 J    6 J    Area accessible to the  public and building users.
7602,  Chance of accident  occurring and of misuse.
7603,    Other accessible areas.
7604,  Some chance of accident  occurring or of misuse.
7605,    Area liable to impacts  from thrown or kicked  objects.
7606,    Might also be subject  to impact during  maintenance which  might impose a higher  impact energy.
7607,    Areas more  than 6 m above  ground or  above adjacent  FFL    Area mainly subject  to impact during  maintenance which  might impose a higher  impact energy.
7608,    350 J    120 J    3 J    3 J    Table E.
7609,2 Exposure categories and minimum impact test energy for opaque areas    The test energy impacts for opaque areas should be not less than those given in  Table E.
7610,"2, in accordance with CWCT TN 75 [Ref."
7611, E.
7612,6].
7613,    Soft and hard body testing shall follow the procedures in CWCT TN 76 [Ref.
7614, E.
7615,7].
7616,    E 10    Dubai Building Code    Part E: Building envelope     When subjected to the serviceability impact in Table E.
7617,"2, materials and products used  in the building envelope shall achieve the following performance."
7618,    a) Brittle materials shall present no failure or damage.
7619,"    b) Other materials shall present no harm to surface finish, no indentation or damage."
7620,"    Serviceability impacts shall not adversely affect the structural safety of the building,  or damage any part of the building such that it could fall or cause serious injury to  people inside or outside the building."
7621,    The impact strength for glazing and plastic glazing sheet materials shall be obtained  from the safety and security recommendations in BS 6262-4.
7622,    E.
7623,4.
7624,6    Load combination    Load shall be factored and combined in accordance with ASCE/SEI 7-16.
7625,    E 11    Dubai Building Code    Part E: Building envelope     E.
7626,5    Energy conservation    E.
7627,5.
7628,"1    Energy compliance method    There are two compliance routes for energy performance, as shown in Figure E."
7629,1.
7630,    Where the performance method in Figure E.
7631,"1 is to be used, the reference building  shall be equal in shape, size, orientation and operational patterns to the proposed  building."
7632, Calculation shall be determined in accordance with ASHRAE 90.
7633,"1:2019,  Appendix G, except for the minimum requirements for building envelope, equipment  efficiencies and other parameters and conditions that are listed in the elemental  method in Figure E."
7634,1.
7635,    Compliance will be demonstrated if the annual energy consumption of the proposed  building is equal to or lower than the annual energy consumption of the  reference building.
7636,    ENERGY COMPLIANCE METHOD    ELEMENTAL METHOD    PERFORMANCE METHOD    Using a calculation tool such as  dynamic thermal modelling    Calculation shall compare the annual  energy consumption of the proposed  building with that of a reference  building.
7637,    All buildings shall conform to:    E.
7638,5.
7639,2.
7640,1 Maximum glazed area    E.
7641,5.
7642,2.
7643,2 Orientation of glazed facades    E.
7644,5.
7645,2.
7646,3 Building envelope  performance    H.
7647,4.
7648,8.
7649,1 Energy efficiency – HVAC  equipment and systems    H.
7650,7.
7651,2 Lighting power density –  Interior    Figure E.
7652,1 Flow chart for energy compliance method    E 12    Dubai Building Code    Part E: Building envelope     E.
7653,5.
7654,2    Elemental method requirements    Orientation of glazed element    Maximum glazed area    E.
7655,5.
7656,2.
7657,"1  Except for shopfronts, the total WWR of glazed façades for conditioned spaces shall  not exceed:    a) 40% of the gross wall area for residential buildings; and    b) 60% of the gross wall area for all other building types."
7658,    Orientation of glazed facades    E.
7659,5.
7660,2.
7661,"2  For every orientation of the building, the percentage of the building elevation that  is glazed shall not exceed the values in Table E."
7662,3.
7663, Orientation shall be defined by the  angles in Table E.
7664,3 and as shown in Figure E.
7665,2.
7666,    North    Northeast    East    Southeast    South    Southwest    West    Northwest    Perpendicular angle from North  (α)  −22.
7667,5° ≤ α < 22.
7668,5°  22.
7669,5° ≤ α < 67.
7670,5°  67.
7671,5° ≤ α < 112.
7672,5°  112.
